gene	head	arms	legs	pelvis	fn	ls	frak	oto	heel	height	prop	fn2stu	ls2stu	fa2stu	thalamus	caudate	putamen	pallidum	hippocampus	amygdala	accumbens	chr	gene_start	gene_end
FAM134A	0.2261	0.70143	1.239	1.8468	0.9784	1.0418	0.49757	0.47684	2.0177	6.8101	3.4373	0.90259	-0.86108	0.19034	-0.34595	0.065569	-0.2549	1.5095	-0.8364	-0.27393	1.0952	2	220042939	220050197
SLC23A3	-0.053046	0.43616	0.89651	1.8149	1.0958	1.3293	0.50541	0.45737	2.0083	6.1094	3.5124	0.75806	-0.82747	0.09662	-0.24098	0.022731	-0.36398	1.5688	-0.92599	-0.25616	1.0243	2	220026181	220035549
CNPPD1	-0.3028	0.71819	0.7111	1.6677	1.0327	1.2554	0.35943	0.20169	2.1167	7.4488	3.8947	0.064715	-0.81074	0.020636	-0.24234	0.013626	-0.19283	1.6237	-1.1024	0.072412	0.91014	2	220036619	220042885
ZFAND2B	-0.38956	0.31398	0.28997	1.3044	0.85561	1.1643	0.29659	0.37767	2.0377	6.8241	3.8291	0.045173	-0.97538	0.15272	-0.76536	0.014169	-0.55068	1.6979	-0.70913	0.23535	0.5781	2	220071506	220074373
ANKZF1	0.96093	0.25897	0.77244	1.4298	0.26282	0.53673	0.37265	1.4795	1.9626	6.1094	3.6829	0.77273	0.52256	0.45823	-1.1606	-1.1888	-1.425	0.34652	-0.49326	0.15139	0.15924	2	220094479	220101391
ABCB6	0.69256	0.47734	0.98691	1.463	0.31645	0.34423	0.35607	1.5117	1.9048	6.1094	3.3176	0.78683	0.70291	0.51687	-1.0847	-1.4941	-1.2744	-0.016353	0.11966	0.17219	-0.35755	2	220074488	220083712
ATG9A	0.76898	-0.074857	0.79352	1.3392	0.14356	0.25195	0.20896	1.4431	1.7354	6.1094	3.3556	0.66185	0.97857	0.61483	-0.60169	-1.2942	-0.91661	-0.033065	0.10305	0.45282	-0.73259	2	220084102	220094387
STK16	0.91887	0.14116	0.86044	1.3241	0.23247	0.32156	0.40446	1.4514	1.8975	6.1094	3.2366	0.62039	0.6682	0.67905	-0.61118	-1.283	-0.86061	0.08226	0.28754	0.18965	-0.47547	2	220110192	220115059
GLB1L	0.37867	-0.36146	1.016	1.4388	0.29191	0.55675	-0.22355	1.6697	1.4985	6.1094	3.3577	0.61584	1.2625	0.54332	-0.62787	-1.3373	-0.53733	0.17743	0.056108	0.14907	-0.9534	2	220101331	220110155
TUBA4A	-0.056931	-0.6169	0.5953	1.1695	-0.51692	0.2169	-1.0519	1.9474	0.82324	7.9053	3.4557	0.488	1.4028	0.37214	-0.50965	-1.5787	-0.79435	-0.071161	-0.094457	0.18639	-1.6245	2	220114433	220119330
DNAJB2	0.034666	-0.56709	0.08422	0.77486	-0.061154	-0.13777	-1.2201	2.0454	0.71869	6.1094	3.618	0.47322	1.3817	0.3157	-0.50733	-1.7627	-0.8179	-0.098167	-0.41913	0.18781	-1.827	2	220144040	220151622
PTPRN	0.93058	-0.098548	-0.32046	0.18904	1.4792	-0.29046	0.18067	0.4585	0.70486	7.8344	2.5565	-0.55012	0.71745	-0.64815	-0.60865	-0.18794	-0.38208	-0.77724	-1.009	-1.0931	0.40176	2	220154345	220174295
RESP18	1.1036	-0.96869	0.1011	-1.3142	-0.23994	-0.29759	0.18831	-0.20123	1.0444	7.8699	1.2892	-0.68844	0.50311	-0.71085	-1.5643	-0.76785	-0.53841	-2.1889	-2.7707	-0.90046	-0.13962	2	220192131	220197899
DNPEP	0.37389	-0.43346	0.59013	-0.67889	0.44221	-0.002642	0.20944	2.1953	1.7967	3.2123	1.0655	-0.62143	-0.93572	-1.774	0.1997	-1.0453	-1.055	-1.1392	-1.6497	0.074713	-0.73439	2	220238180	220264730
DES	-0.6712	-0.26005	0.96991	0.24847	0.83074	0.55148	0.23054	2.1236	1.8881	2.4504	0.95026	-0.25293	-0.425	-1.5834	0.55601	-0.98361	-1.0994	-0.67024	-1.688	-0.27877	-0.47166	2	220283099	220291461
SPEG	0.64873	-0.63584	0.11565	-0.97326	-0.26213	1.067	-0.87103	1.6301	1.4561	4.1188	1.2617	-0.15564	-0.89839	-0.42278	-0.080628	-1.2779	-0.91893	-0.1304	-0.52695	-0.7293	-0.45553	2	220299552	220358354
LOC100996693	0.39324	-0.24867	-0.45982	-1.6946	-0.40506	1.2951	-0.82633	0.67102	0.032212	3.626	0.50797	0.53227	-0.46273	0.49953	0.4087	-0.36882	-0.78713	0.25397	0.30254	-0.11671	0.58768	2	220359098	220363004
GMPPA	0.58146	-0.39364	-0.3394	-1.7402	-0.17666	1.3337	-0.84767	0.66416	-0.02251	3.6707	0.40607	0.80837	-0.7004	0.28547	0.10975	-0.54429	-0.95978	-0.12307	0.36689	-0.57986	0.49888	2	220363587	220371718
ASIC4	0.73483	-1.8164	-0.72142	-1.5064	-0.24799	1.3695	-0.069218	0.32714	2.0515	4.8205	1.7857	1.3964	-1.2785	-0.0092507	-0.27104	-0.76334	-1.955	-0.67516	0.137	-0.80908	-0.16067	2	220378892	220403494
TMEM198	0.5994	-2.1008	-0.6421	-0.42149	-0.24278	1.414	0.072317	-0.10848	2.8501	4.8217	2.2811	1.7868	-1.4769	-0.71282	-0.57384	-1.145	-1.9889	0.029925	0.12153	-0.71864	-0.044965	2	220408385	220415317
CHPF	0.65788	-2.242	-0.10942	0.25389	-0.05801	1.6903	-0.47616	-0.34929	3.3634	3.8366	2.2195	1.7835	-0.065492	-0.95596	-0.86393	-0.46494	-1.3904	0.86594	0.42432	-0.71545	0.88508	2	220403669	220408487
INHA	0.73184	-1.9906	0.21813	0.46537	0.074186	1.8662	-1.1272	-0.21861	3.4356	3.8161	2.1786	1.7965	0.15467	-0.79038	-1.0521	-0.19165	-1.3685	0.92208	0.41894	-0.64668	1.1715	2	220436954	220440435
OBSL1	1.089	-1.8073	0.4591	0.95207	0.71668	2.0074	-1.4978	0.0052911	3.3655	3.8459	2.3266	1.634	0.16172	-0.98582	-0.92871	0.0016689	-1.5269	0.79057	0.80135	-0.99986	1.2923	2	220415450	220436357
STK11IP	1.8848	-1.562	1.0508	1.9181	1.6496	1.8375	-1.7532	0.83944	2.2154	4.4435	2.4505	0.63386	0.93724	-0.67936	-0.97607	0.39837	-1.1427	0.86051	0.97959	-0.0045924	1.5424	2	220462593	220481173
SLC4A3	1.4979	-1.4096	0.21602	1.9733	2.0697	0.13362	-0.73934	1.555	0.19357	2.9193	1.1901	-0.034055	0.2581	-1.0908	0.50444	0.11915	-1.1189	-0.099929	-0.76228	1.5115	-0.48522	2	220492292	220506702
EPHA4	-0.16332	1.4868	1.7906	1.3341	1.3603	1.505	0.38289	-0.16255	4.8976	5.527	1.614	-0.0068411	0.014277	-0.53524	0.67128	2.0691	-0.13457	0.25112	0.30973	0.42788	0.79137	2	222282747	222437010
PAX3	-0.81785	0.32158	0.79895	0.68028	1.249	0.62655	-1.2243	0.89419	-0.49522	5.1478	1.8141	-0.085514	-1.6278	0.86313	2.2046	-0.35442	-0.99446	1.3022	-0.87892	0.077068	-0.9413	2	223064606	223163715
CCDC140	-0.88765	1.3907	1.6301	1.636	2.0506	1.4123	-0.56652	0.79059	-0.39069	2.7852	1.5176	-0.67995	-0.89684	0.18611	1.1688	0.26498	-0.19301	1.0344	-0.74935	0.34927	-0.40107	2	223162866	223169936
SGPP2	-1.1593	-0.32242	1.4062	0.067413	1.5647	1.6062	0.71502	0.14215	2.7416	0.81132	0.59784	-0.56052	-1.0867	-0.91459	1.1268	-0.24206	0.25903	0.70227	0.77409	-0.19751	0.33701	2	223288771	223427342
FARSB	-1.4125	-0.23747	0.92147	-1.4316	-0.89116	-0.37593	1.1257	-0.61903	0.95253	2.3335	1.9361	0.38527	-0.7118	-0.39479	-0.57576	0.54448	0.072924	0.57758	0.49534	-2.0401	0.63862	2	223436162	223520827
MOGAT1	-1.683	-0.93037	0.85482	-1.7296	-0.57859	-0.80981	0.34153	-0.38367	1.1155	3.1398	2.0414	0.69251	-0.65077	-0.63427	-1.0124	0.18215	0.11015	0.02579	-0.59074	-1.949	0.3215	2	223536457	223575005
ACSL3	-0.13928	0.2314	0.891	-0.52846	0.12731	-0.9087	-0.25626	1.3396	-0.073171	3.3267	0.59508	0.036244	-0.69799	-0.89788	0.28383	-0.53433	-0.63393	-0.72762	-0.53575	-0.66411	-0.74696	2	223725732	223808119
KCNE4	-0.73333	-1.2844	-0.70604	-1.0836	-0.81485	-0.68443	1.166	0.84199	0.44567	8.3646	0.43398	-0.81486	-1.6145	-0.35291	0.83031	-0.048059	1.1293	-0.66152	0.57308	0.52115	-0.91064	2	223916648	223920355
SCG2	-1.307	-1.3271	-0.22576	-1.0699	-1.5496	-1.9335	1.0185	-0.52371	0.58971	1.7828	1.9222	-1.7198	0.6658	-0.90417	0.70293	0.097672	0.217	1.58	0.027894	0.062094	2.4599	2	224461658	224467217
AP1S3	2.3719	3.1221	2.3299	1.6933	1.9884	-0.0008846	0.29043	1.1284	0.66511	3.2992	2.6739	1.6277	1.369	0.86434	-0.88454	-0.89594	2.4582	-0.58875	1.1536	0.83987	1.5049	2	224616403	224702319
WDFY1	1.533	0.60254	1.3838	-0.60353	0.75251	0.59586	1.9226	0.44892	1.9923	2.7168	3.1939	0.51859	0.74173	0.6861	-0.93505	-0.98361	1.8764	-0.14243	0.6038	0.76972	0.50333	2	224740065	224810104
MRPL44	0.45963	1.155	0.49157	-1.4096	0.66968	1.0076	0.97472	1.0168	1.6058	3.4842	3.8245	0.12383	0.68842	1.2523	-0.4417	-0.73476	1.8314	0.27343	0.94433	0.9765	0.74091	2	224822121	224832431
SERPINE2	-0.028584	-0.17526	0.36767	1.9159	1.386	1.3004	1.2329	0.14256	0.99326	6.1094	5.8998	1.1918	0.1269	0.37026	1.3958	1.3914	1.8488	1.4635	0.5014	-0.18528	0.91104	2	224839765	224904036
FAM124B	0.4294	-1.952	-0.23485	-0.60181	0.9689	0.0037982	-1.4254	0.49975	2.0646	7.8084	-0.085192	-0.23413	1.8474	0.66162	-0.10662	0.37611	-1.0312	1.26	0.78245	1.2619	0.56491	2	225243415	225266711
CUL3	0.98661	-2.0677	-1.5036	-1.4946	-1.5733	-0.83199	0.50197	0.81139	1.5179	7.8527	5.0498	-0.83809	0.55929	-1.7866	-0.83717	0.091099	-0.73772	0.84192	1.207	-0.23596	-0.91454	2	225334867	225450114
DOCK10	0.52302	-1.2905	-0.98	0.18498	-0.40918	-2.0584	0.6143	0.73819	2.6218	4.4781	2.3221	-1.7388	-0.75461	-0.46438	0.65246	0.9787	2.0769	2.2528	-1.2521	0.27732	0.11178	2	225629807	225907330
NYAP2	1.2997	0.030556	-0.42329	-0.027081	-1.1814	0.91624	0.031902	1.1085	1.1362	5.2504	3.1538	1.7949	1.659	0.92887	0.71577	0.04379	0.58816	-1.4975	2.3097	-0.084641	1.3811	2	226264426	226518734
IRS1	1.2026	-0.59873	-0.35307	0.35496	1.2603	-0.13316	-0.062906	0.241	6.2165	7.1151	1.6924	1.8146	-1.358	-0.06936	1.8545	-1.4825	0.68927	1.9753	1.523	-0.51557	-0.74166	2	227596033	227664545
RHBDD1	3.4325	-0.38197	0.30068	0.2522	0.77274	0.13445	-0.43047	-0.070273	0.37217	5.3301	2.7898	1.0212	-0.72007	0.29131	2.6241	1.2597	-0.53879	1.1555	1.8236	1.4973	-0.027993	2	227700652	227863926
COL4A4	2.3534	-1.2489	0.097603	-1.1912	0.084476	-0.17185	0.87943	0.023181	-0.93309	5.5432	2.6556	0.42809	-0.9714	-0.77239	1.0034	1.041	-0.49946	0.15123	0.2527	2.1407	0.064714	2	227867427	228029275
COL4A3	-1.288	-1.6677	0.032268	-1.5592	-1.1813	0.0055022	0.68474	0.52231	1.898	1.581	0.2567	-0.14726	0.021016	-0.8235	-0.49113	-0.6049	-1.2635	-1.1537	-0.74144	-0.62985	-0.63958	2	228029281	228179508
MFF	-0.64416	-1.4742	-0.55694	-0.81941	-0.95211	0.31609	1.8975	1.1506	1.1424	1.5528	0.24251	0.63839	1.2091	0.52101	1.9568	-0.63342	-0.45512	0.2133	0.040918	0.75942	0.47182	2	228189867	228222552
TM4SF20	-0.73833	0.044335	-0.77885	0.15709	0.32769	0.97163	1.783	1.6859	2.7469	2.6213	0.82324	0.73399	1.4307	2.5021	2.0549	-1.4165	-0.16184	-0.77362	0.67139	-0.43662	0.088378	2	228226872	228244022
AGFG1	-1.4283	0.50039	0.031664	-0.24614	0.83668	-0.84123	1.9017	-0.1305	1.191	6.7727	0.54785	0.59235	0.84058	-0.372	1.7329	-0.35981	0.22206	-0.58271	0.96261	0.38068	0.11166	2	228336853	228425938
C2orf83	-0.72449	-1.5186	0.62692	0.14147	0.29386	-0.084899	0.44151	-0.33547	-1.0256	0.65304	0.15565	0.2584	-1.1747	-1.0236	0.27648	-0.56088	-0.86609	1.8171	0.22759	0.113	0.1236	2	228474806	228498036
SLC19A3	0.3233	-0.71249	0.92044	0.94338	-0.4885	0.58237	-0.8745	-0.44331	1.4491	2.5722	1.1584	1.3042	0.13949	0.15286	2.0374	-1.0561	-0.38945	0.28725	0.49346	-0.8785	-0.57634	2	228549926	228582814
CCL20	-0.1197	0.14757	1.0794	-0.074904	0.27514	0.55596	-0.94759	-0.26457	0.30398	-0.0088581	-0.49272	-1.7146	-1.1833	0.88312	1.4529	-0.52474	0.67983	0.79139	0.88491	0.31976	-0.54926	2	228678558	228682280
DAW1	0.48457	-0.22919	-0.66447	-0.0038211	0.62761	-1.4313	1.951	0.6657	1.3973	0.073366	0.88787	-0.81793	0.71089	1.0099	1.1137	-1.3441	0.36298	-0.15442	1.2142	1.264	0.037543	2	228736325	228789131
SPHKAP	-0.081332	0.52335	0.080285	-0.43722	-0.029284	-0.48167	0.73408	0.26233	-0.83539	1.1244	-0.10242	0.88356	0.39728	1.437	-0.32612	1.0985	-0.14363	0.02269	1.0178	0.60398	-0.57773	2	228844670	229046836
PID1	-0.42119	0.50995	0.36714	2.6405	0.93286	1.239	1.2604	1.1497	2.5499	5.7971	3.0788	-1.6915	0.38778	-0.087977	-0.70357	1.1192	2.2637	-0.33752	-0.36743	0.69958	-0.7766	2	229888689	230136057
DNER	0.80453	-0.69056	-1.3726	0.078515	1.0027	0.35634	-0.22255	0.77118	0.57739	7.1537	1.212	-1.107	-1.5768	-0.68583	0.10975	0.4967	-0.46635	1.3065	0.61886	0.45903	-0.13578	2	230222345	230579286
TRIP12	-1.5739	1.0109	0.24104	-1.3117	0.45133	-0.24285	-0.998	0.15299	1.7956	4.7456	0.43276	0.35311	-0.67312	0.1503	-0.43997	0.12265	-0.71725	0.099712	-0.2472	1.7493	0.0040768	2	230631098	230786763
FBXO36	-1.2298	0.75777	0.20545	-0.98381	0.18196	-0.34894	-0.92389	0.004165	0.89644	3.9093	0.33987	0.15326	-0.92827	-0.044107	-0.57034	-0.18612	-0.97188	0.02214	-0.97466	1.923	-0.057813	2	230787023	230877825
SLC16A14	0.74968	0.10108	0.80575	1.2898	0.42632	-0.19576	0.87974	2.0773	-0.022553	3.0114	-0.23923	-0.027333	-2.0862	-0.8071	-0.034125	-0.85716	-0.4485	1.6542	0.35209	1.6851	-0.071236	2	230899690	230933715
SP110	0.30252	0.25285	0.011808	0.03103	-0.62988	-0.43198	-0.61783	-1.4015	0.47474	0.22484	0.92857	-0.23026	-1.7426	0.52542	0.48712	0.2211	1.5292	0.88862	0.68484	0.90048	1.3657	2	231033634	231090444
SP140	-0.5853	0.8432	0.3544	-0.021128	0.27496	-0.87065	-1.0108	-0.40902	1.0816	1.1149	1.389	-0.11769	-0.8864	0.50443	0.1491	-0.22268	0.77488	0.94905	-0.40228	0.25004	-0.41497	2	231090445	231177930
SP140L	-0.12931	-0.06316	-0.2762	-1.0481	1.5489	-1.3005	-1.7751	1.3509	2.8595	2.9102	0.67922	0.23008	-0.74669	-0.44917	0.0069644	-0.47123	0.49657	1.5473	0.096447	-1.5061	-1.397	2	231191894	231268445
SP100	-0.59388	1.3722	1.6186	-0.41901	-0.030041	-0.79166	-1.1319	1.9196	2.8836	4.1057	-0.13276	-0.13157	0.21407	0.052196	-0.9887	-0.67257	0.017685	0.5343	-0.58889	-0.12179	-0.7789	2	231280871	231410317
CAB39	-0.50261	0.32385	0.36333	0.21132	0.26513	1.5145	0.78281	-1.1004	0.88849	3.2872	1.4063	1.0476	-1.3624	-0.63808	1.2661	-0.011376	1.1052	0.92029	0.12825	1.822	-0.24967	2	231577557	231685790
ITM2C	-0.086993	-0.4035	-1.0593	-1.0877	-0.43026	-0.17676	1.5478	0.9393	1.1946	3.7705	1.7896	0.0029699	-1.2959	-0.07778	-0.11425	0.53734	-1.1182	0.40442	1.0858	0.21236	-1.321	2	231729546	231743963
GPR55	1.401	0.88132	1.9669	0.20919	-0.20069	0.031864	-1.5923	1.2133	2.0144	3.7872	0.30589	0.057215	-1.3354	-0.53176	0.769	0.32458	-0.49521	0.23746	0.36005	-0.87985	1.019	2	231772043	231789953
SPATA3	0.38213	1.2085	0.86112	0.83207	-0.7182	-0.52122	-0.5802	-0.38126	0.50758	4.6808	0.73347	-1.0248	-0.25258	-0.78308	1.1686	0.68648	0.041676	1.2866	-0.25011	0.5048	-0.75923	2	231860839	231884572
C2orf72	-0.14986	1.7102	0.85683	1.203	-0.83995	-0.82479	-0.098115	-0.91228	1.7845	4.3321	1.16	-1.1226	-2.1889	-1.1932	0.30446	1.1035	-0.64748	2.1337	-0.84742	1.0038	-0.93958	2	231902281	231914429
PSMD1	0.096262	0.92641	-0.27855	-0.18528	-0.6015	-0.48381	1.0511	-1.9675	2.14	1.9599	0.28268	-0.15885	-1.2321	-0.42169	1.1951	1.496	-0.15484	2.1852	-0.10672	0.10275	-1.1474	2	231921578	232037541
HTR2B	0.14663	0.28206	-0.94852	-0.015119	-0.13684	-0.17655	1.2823	-1.7028	1.9621	1.3477	-0.011169	0.065555	-0.86339	-0.32645	1.8312	1.6571	0.46014	1.8037	0.14356	0.22521	-0.85668	2	231972944	231989926
ARMC9	0.33022	-1.2733	-1.872	-1.246	0.40811	-0.24635	2.4057	-0.90808	2.4436	4.2632	0.44239	-0.22876	-0.044575	-0.24339	2.7673	2.5968	1.8764	2.0011	0.29412	-0.67713	0.48392	2	232063294	232238606
B3GNT7	-0.31144	-0.0085931	1.3526	0.69518	1.8865	0.50474	0.44946	0.22798	1.0739	6.1094	3.12	-0.24916	0.37404	-0.56357	2.0766	2.2851	1.3882	1.9856	1.2671	0.087323	-0.89099	2	232260335	232265875
NCL	1.4123	-0.68425	-0.94258	0.95462	-0.32567	1.6008	2.4792	0.43813	0.92939	6.1094	3.6748	-0.37104	0.49905	0.34173	0.81159	1.012	0.21071	-0.16998	-0.66229	-0.8406	-1.9413	2	232319459	232329208
NMUR1	1.4177	0.29213	0.83398	-0.94115	0.036854	0.75265	1.6833	-0.016466	0.99654	6.1094	5.3881	-0.56722	1.699	1.7865	-1.1842	0.36579	-0.76206	0.44348	-0.31469	-0.16436	-0.95859	2	232387871	232395182
C2orf57	1.8412	0.96198	0.60077	-1.2874	-0.50111	0.22958	1.044	0.67508	1.171	8.0599	3.1026	-0.49941	1.6394	2.1221	-0.62783	0.31622	-0.98919	-0.34554	-1.1992	0.14119	0.61171	2	232457575	232458994
PTMA	1.955	0.22885	0.56548	-0.57812	-0.28858	0.24907	1.0306	-0.33584	1.0521	8.1374	1.8078	0.39028	-0.0602	1.5736	-0.55704	-1.0607	-0.19255	-0.67978	0.75145	0.43877	0.803	2	232573235	232578251
PDE6D	2.2797	0.10154	1.1216	0.173	-0.88708	0.42416	0.76721	0.18507	0.90299	6.1094	-0.48857	0.53717	-1.5231	0.82319	-0.73159	-1.6645	-0.8046	-1.2284	-0.65192	-0.69314	0.75858	2	232597147	232645974
COPS7B	2.0448	-0.030386	1.0326	0.074992	-0.81056	0.29308	0.70321	0.29342	1.1323	7.3561	-0.33881	0.49169	-1.467	0.70591	-0.81333	-1.5878	-1.0782	-1.5857	-0.59635	-0.34418	0.51591	2	232646388	232673958
NPPC	1.7747	-0.30055	0.093848	1.941	0.85564	1.5347	1.3609	0.1194	1.7133	7.5912	7.8716	0.37697	0.96654	-0.45207	1.1995	1.0116	-0.86359	-0.24344	0.10035	1.1336	0.32924	2	232786805	232791038
DIS3L2	1.4098	-0.11853	-0.1488	1.4638	0.89907	1.4506	2.5043	-0.70772	1.4617	6.1094	7.9589	-0.022878	0.98373	-0.41097	1.0498	1.9682	0.52448	-1.7507	-0.82376	0.75989	0.073593	2	232826293	233208678
ALPP	0.6233	1.2324	1.6412	2.5384	1.4196	0.36642	1.3248	0.3467	-0.29746	7.7957	6.5756	0.95936	0.49032	-0.159	-0.73673	1.9429	1.5801	-1.4773	-0.31159	2.0364	0.42299	2	233243348	233247599
ALPPL2	0.69791	2.4491	2.771	2.779	1.7697	0.6671	1.2589	-0.85564	-0.88801	6.1094	3.7138	0.459	0.41588	0.90243	-0.85786	1.567	0.9334	-0.88526	0.67459	1.7344	0.54194	2	233271552	233275424
ALPI	0.56551	1.9561	2.438	2.4808	1.2173	0.4951	0.1881	-1.2453	-0.35617	8.1754	2.4868	0.87688	0.96222	2.0332	0.072342	2.2636	0.98285	-0.57075	0.51751	1.2236	0.39226	2	233320833	233325455
ECEL1	0.63333	0.64202	1.053	1.8598	-0.51193	0.55099	-0.4835	0.72256	-0.05291	6.1094	0.72293	1.3481	1.8783	0.98877	0.59599	1.0957	1.3743	-1.0931	0.85547	1.3795	-1.4398	2	233344537	233352532
PRSS56	1.1486	1.2927	1.5312	1.7388	0.72164	0.64066	-0.020136	1.8375	0.2421	7.7493	1.1021	1.4768	2.1824	0.05832	0.96078	0.54436	1.1359	-1.0109	1.1108	0.67997	-1.6144	2	233385173	233390426
CHRND	1.2013	1.382	1.4446	1.4775	0.90351	0.80772	0.0074968	1.7238	0.62055	6.1094	0.99106	1.3865	2.2482	0.15184	0.21141	-0.094046	1.2452	-1.0371	0.87048	0.38571	-1.3528	2	233390870	233401375
CHRNG	1.1005	1.4782	1.3064	1.2184	0.92873	0.89945	0.062451	1.6028	0.80642	7.7154	0.74008	1.391	2.0283	0.03765	-0.054387	-0.79262	1.2172	-1.0651	1.3775	-0.12377	-1.0705	2	233404424	233411038
EIF4E2	1.0031	1.6599	0.91948	0.66574	0.65431	0.52269	-0.73132	1.684	1.1583	6.1094	0.10678	1.144	1.8899	-0.37183	-0.12385	-0.28631	0.93522	-1.1095	1.4057	-0.9284	-1.2145	2	233414762	233448354
TIGD1	0.49339	1.5022	0.31778	-0.15097	0.14489	0.35464	-1.4026	1.2988	1.2614	6.1094	-0.31644	1.1426	1.671	-0.46503	0.028325	-0.32059	0.77608	-1.2215	1.4646	-1.4228	-1.033	2	233412779	233415226
EFHD1	0.93685	-0.47858	0.59344	1.2913	1.0411	1.224	-2.609	1.0469	2.0654	6.1094	1.7206	-0.3152	0.86703	0.33595	-0.23417	1.7869	-0.84886	-0.7687	0.58314	-1.4635	0.27894	2	233470767	233547491
GIGYF2	1.1261	-1.4032	-1.0212	1.0896	0.12661	0.93676	0.54199	-0.15507	6.2419	6.1094	5.3456	0.10693	0.607	0.98129	0.22086	-0.030545	-0.41993	-0.56056	-0.81406	0.73049	1.0622	2	233562015	233725287
KCNJ13	0.79903	-1.4222	-2.1848	0.61535	-0.31745	-0.13099	0.45898	-0.13318	5.2734	7.3772	5.0004	0.0055176	0.74115	1.3172	-0.16695	-0.46523	-0.66899	-0.62848	-1.2488	0.71481	1.1951	2	233630512	233641275
C2orf82	1.2933	-1.0015	-2.049	0.51693	-0.37126	-0.057816	1.2524	-0.031095	5.6089	7.2002	6.0125	-0.005462	0.67212	0.91424	0.58139	0.18136	0.34578	-1.8034	-0.71489	0.80561	1.1462	2	233733724	233741111
NGEF	0.11926	-1.0414	0.80147	1.079	0.23895	-0.64949	0.95261	-0.53171	8.0003	7.8055	8.9413	-0.2286	0.5148	0.3124	-0.56305	0.85035	0.97167	-2.1508	-0.40029	0.42326	0.68615	2	233743396	233877951
NEU2	-0.30209	-0.049527	0.45941	1.0661	-0.079391	-0.52258	-0.96195	0.20896	2.9002	7.4379	6.6581	-0.80151	0.70024	0.25824	-1.1888	1.122	1.5239	-0.87779	0.17982	1.0815	1.0804	2	233897382	233899767
ATG16L1	1.1767	2.087	1.6615	1.5905	1.5535	0.54555	-0.06759	0.93859	-1.1577	3.6676	2.5181	1.2756	-0.81215	-0.81985	-0.78782	-0.80157	-0.20715	1.1975	0.36921	0.037104	1.2615	2	234160217	234204320
SAG	1.4528	2.648	2.3086	2.1386	1.4123	0.032512	-1.3291	0.43659	-0.39787	4.033	3.8074	0.56302	-1.448	-1.1469	-0.63528	-0.017273	-0.59031	1.5488	0.28564	1.9764	1.3259	2	234216309	234255701
DGKD	2.2296	2.4617	2.3531	3.0947	1.8042	1.0921	-0.76433	0.093769	1.3027	4.3906	4.9007	0.014579	0.079047	0.15574	0.92083	-0.062182	-1.7019	1.529	-0.73671	2.2358	2.1975	2	234263149	234380744
USP40	0.45561	0.75355	-0.13848	0.70783	0.10031	0.0014529	0.23519	0.048533	2.0465	0.96406	2.4243	0.10474	0.3024	-0.61889	1.0782	1.2123	-2.6705	1.3323	-0.6638	2.3736	1.7696	2	234384165	234475433
UGT1A8	1.4665	1.576	1.0744	1.8627	0.975	1.5362	0.64376	1.011	2.8343	1.0181	-0.054329	-1.5118	0.65021	1.0167	0.14791	0.36612	0.021357	0.74056	-0.059701	1.5129	-1.6312	2	234526291	234681946
UGT1A10	1.4167	1.578	1.1495	1.8083	1.0134	1.5732	0.74613	0.91211	2.9018	1.0133	-0.10231	-1.4319	0.7116	1.0602	0.057842	-0.043824	0.22845	0.50065	0.032079	0.82988	-1.5057	2	234545123	234681951
UGT1A9	1.1476	1.655	1.3716	1.7638	1.0632	1.7484	0.45804	0.94814	3.1169	0.91084	0.068295	-1.2193	0.77884	1.2177	0.13416	-0.11016	0.35571	0.47301	0.24681	0.93132	-1.314	2	234580544	234681951
UGT1A7	1.0803	1.585	1.3785	1.6641	1.0303	1.7281	0.46044	0.97853	3.044	0.87936	0.086843	-1.1637	0.81498	1.2673	0.12428	-0.06858	0.40468	0.36701	0.24006	0.9798	-1.3497	2	234590584	234681945
UGT1A6	1.0254	1.5881	1.407	1.6388	0.98249	1.7108	0.4195	1.0006	3.1972	0.88233	0.13478	-1.1265	0.8134	1.316	0.17859	0.0080649	0.47611	0.19123	0.27544	0.93927	-1.1778	2	234600321	234681951
UGT1A5	0.98289	1.5933	1.4092	1.5359	0.83677	1.6963	0.35818	0.97935	3.1865	0.82018	0.30643	-0.88904	0.86104	1.4224	0.1663	0.02601	0.58223	0.099071	0.11527	0.93037	-1.1504	2	234621638	234681945
UGT1A4	0.89492	1.5576	1.4654	1.4528	0.75329	1.7052	0.37065	0.99435	3.4149	0.88838	0.40062	-0.90659	0.87869	1.5124	0.23431	0.10321	0.61439	-0.040438	-0.20019	0.85091	-1.1568	2	234627438	234681945
UGT1A3	0.90298	1.4196	1.5448	1.4695	0.82492	1.5964	0.53739	0.96094	3.8034	1.2196	0.52724	-0.70073	0.86273	1.6183	0.43019	0.3478	0.58024	-0.11179	-0.69707	0.59103	-1.0191	2	234637773	234681945
UGT1A1	1.2628	1.519	1.1407	1.4765	0.63785	1.2857	0.20337	1.033	2.2462	1.3531	0.61211	-0.35186	0.82858	0.96534	0.12101	0.19647	0.6771	-0.35386	-1.8992	0.28095	-1.1932	2	234668919	234681945
DNAJB3	1.1362	1.6156	1.2156	1.4621	0.70046	1.2879	0.30416	1.1356	2.1232	1.4723	0.72288	-0.46121	0.84965	1.0049	0.13128	0.085567	0.69326	-0.22608	-2.1647	0.47285	-1.0071	2	234651396	234652661
