gene	head	arms	legs	pelvis	fn	ls	breadth	peak	min_z	specificity	layer	chr	gene_start	gene_end
USP33	1.4047	-0.4662	-0.018601	0.33241	1.7036	0.31621	0	1.7036	-0.4662	0.29889999999999994	rest	1	78161672	78225564
FAM73A	1.9161	-0.014339	-0.30765	0.12388	1.9873	0.17152	0	1.9873	-0.30765	0.07120000000000015	rest	1	78245309	78345225
NEXN	1.9937	0.31705	-0.88481	-0.063576	1.9596	0.13907	0	1.9937	-0.88481	0.03410000000000002	rest	1	78354200	78412009
FUBP1	1.6241	0.09144	-0.64433	-0.067419	1.8642	-0.24969	0	1.8642	-0.64433	0.24009999999999998	rest	1	78409740	78444839
DNAJB4	1.5485	-0.063287	-0.70532	-0.12644	2.0389	-0.28953	1	2.0389	-0.70532	0.49039999999999995	rest	1	78444847	78483648
GIPC2	0.29718	1.3945	1.9766	0.95876	1.266	1.662	0	1.9766	0.29718	0.3146	rest	1	78510646	78604129
PTGFR	1.8239	0.44815	2.1321	1.4705	1.4709	1.5649	1	2.1321	0.44815	0.3081999999999998	rest	1	78956728	79006386
IFI44L	-1.1405	1.0906	0.83537	0.51208	0.11572	0.62844	0	1.0906	-1.1405	0.25523000000000007	rest	1	79086067	79111830
IFI44	-1.6131	0.18161	0.14243	-0.12448	-0.22081	0.469	0	0.469	-1.6131	0.28739	rest	1	79115477	79129763
ADGRL4	2.9694	0.98999	0.53272	1.7568	0.20827	2.2407	2	2.9694	0.20827	0.7286999999999999	rest	1	79355449	79472495
ADGRL2	-0.67501	0.58384	-0.21115	0.16703	0.085518	-0.58729	0	0.58384	-0.67501	0.41681	rest	1	82266082	82458107
TTLL7	-0.74404	0.28138	-0.16833	-0.10114	0.65739	-1.0918	0	0.65739	-1.0918	0.37601	rest	1	84335057	84464850
PRKACB	0.61381	0.10485	-1.2575	1.4097	1.096	-0.010523	0	1.4097	-1.2575	0.31369999999999987	rest	1	84543745	84704181
SAMD13	1.9234	1.1003	2.2972	0.88322	1.4507	1.3275	1	2.2972	0.88322	0.37380000000000013	rest	1	84764049	84816481
DNASE2B	-0.35576	-0.68753	-0.066776	-1.3436	-0.12624	-0.23458	0	-0.066776	-1.3436	0.05946399999999999	rest	1	84864215	84880691
RPF1	-0.51512	0.042555	0.90033	-1.7616	-1.4095	-0.71014	0	0.90033	-1.7616	0.857775	rest	1	84944920	84964033
SPATA1	-0.64041	0.15524	1.2058	-1.5228	-1.9453	-0.71317	0	1.2058	-1.9453	1.05056	rest	1	84971902	85022150
GNG5	-0.67058	0.18862	1.2549	-1.4764	-2.055	-0.8751	0	1.2549	-2.055	1.06628	rest	1	84964006	84972262
CTBS	-0.31244	0.17612	1.7306	-0.74087	-1.6925	-0.069129	0	1.7306	-1.6925	1.5544799999999999	rest	1	85018804	85048039
SSX2IP	0.16961	-0.23337	0.18951	-1.3681	-0.17265	0.69192	0	0.69192	-1.3681	0.50241	rest	1	85109390	85156440
LPAR3	0.85557	1.1168	1.3498	0.16411	-0.94506	0.49309	0	1.3498	-0.94506	0.2330000000000001	rest	1	85279086	85358896
MCOLN2	-0.9588	-0.80949	0.31896	0.5479	1.3605	-0.5176	0	1.3605	-0.9588	0.8126	rest	1	85391266	85462796
MCOLN3	-1.4025	-0.76804	0.37613	0.97168	1.0952	-0.12963	0	1.0952	-1.4025	0.12351999999999996	rest	1	85483765	85514585
WDR63	0.13579	-0.73373	0.27329	1.1049	0.58073	0.58811	0	1.1049	-0.73373	0.51679	rest	1	85527993	85598821
SYDE2	-0.017984	0.20423	0.964	0.5923	2.1502	0.78157	1	2.1502	-0.017984	1.1862	rest	1	85623356	85667292
C1orf52	0.14541	2.5716	2.8125	1.8428	3.291	1.3752	3	3.291	0.14541	0.4784999999999999	rest	1	85715636	85725355
BCL10	0.021745	2.297	2.8714	2.1352	3.1019	1.2194	4	3.1019	0.021745	0.23050000000000015	rest	1	85731459	85742604
DDAH1	-0.10999	1.8594	2.1796	1.757	2.4143	0.94749	2	2.4143	-0.10999	0.2346999999999997	rest	1	85784168	86044046
CYR61	0.0094356	0.55593	1.0171	0.89253	-0.74489	0.15526	0	1.0171	-0.74489	0.12456999999999985	rest	1	86046444	86049650
ZNHIT6	2.1803	2.3811	0.7354	0.6792	1.7251	1.3865	2	2.3811	0.6792	0.2008000000000001	rest	1	86115106	86174116
COL24A1	1.7824	0.66853	-0.26896	1.751	-0.73966	2.0408	1	2.0408	-0.73966	0.25839999999999996	rest	1	86194916	86622121
ODF2L	0.25226	-0.59771	-0.86985	-0.77713	0.29153	-2.274	0	0.29153	-2.274	0.03927000000000003	rest	1	86812507	86862025
CLCA2	0.28655	-0.67924	-0.79548	-0.99642	-0.0025348	-2.4781	0	0.28655	-2.4781	0.28908480000000003	rest	1	86889769	86922241
CLCA1	0.16037	-0.82956	-1.076	-1.821	-0.48849	-1.1311	0	0.16037	-1.821	0.64886	rest	1	86934526	86965977
CLCA4	1.0377	-0.54552	-0.4492	-0.053882	0.53345	0.19988	0	1.0377	-0.54552	0.5042500000000001	rest	1	87012759	87046437
SH3GLB1	-1.3383	1.9577	-0.74328	0.35156	0.93046	0.70044	0	1.9577	-1.3383	1.02724	rest	1	87170253	87213867
SEP15	-0.16948	-0.4064	0.5312	1.5235	0.64204	-1.9226	0	1.5235	-1.9226	0.88146	rest	1	87328128	87380107
HS2ST1	-0.044146	-0.85578	0.90708	1.5487	1.2176	-1.6671	0	1.5487	-1.6671	0.33109999999999995	rest	1	87380335	87575681
LOC101927844	-0.50121	-1.0401	0.42779	-1.6537	-0.62813	-2.7556	0	0.42779	-2.7556	0.929	rest	1	87678352	87717014
LMO4	1.4343	0.062245	0.7039	-0.24765	0.45398	-0.63689	0	1.4343	-0.63689	0.7303999999999999	rest	1	87794151	87814606
PKN2	0.58924	0.18937	2.0828	2.5778	2.6126	1.7973	3	2.6126	0.18937	0.034800000000000164	rest	1	89149876	89301938
GTF2B	0.1403	0.85848	0.65548	0.90794	0.81327	0.82657	0	0.90794	0.1403	0.04945999999999995	rest	1	89318321	89357301
CCBL2	-0.12746	-0.38772	0.11514	1.2718	1.1165	0.13503	0	1.2718	-0.38772	0.1553	rest	1	89401456	89458643
RBMXL1	0.38264	-0.72027	-0.61087	0.99998	0.67778	-0.16	0	0.99998	-0.72027	0.32219999999999993	rest	1	89445139	89458643
GBP3	0.015838	0.48456	0.63463	0.45818	-1.1165	-0.17908	0	0.63463	-1.1165	0.15007000000000004	rest	1	89472360	89488556
GBP1	0.45115	1.1016	1.3052	1.6883	-1.1012	-0.49167	0	1.6883	-1.1012	0.3831	rest	1	89517987	89531043
GBP2	0.76599	-0.14072	0.17254	1.6626	-0.83655	-0.11202	0	1.6626	-0.83655	0.8966100000000001	rest	1	89571815	89591842
GBP7	0.52311	-0.28033	0.15233	1.4736	-1.0859	-0.13476	0	1.4736	-1.0859	0.9504900000000001	rest	1	89597434	89641723
GBP4	0.21873	-0.51846	0.023453	1.4817	-2.2853	-0.49456	0	1.4817	-2.2853	1.26297	rest	1	89646831	89664633
GBP5	0.5496	-0.70342	0.37764	-0.10247	1.6821	0.2364	0	1.6821	-0.70342	1.1324999999999998	rest	1	89724633	89738544
GBP6	1.6265	1.115	-0.094932	0.033948	-1.0554	1.0004	0	1.6265	-1.0554	0.5115000000000001	rest	1	89829436	89853719
LRRC8B	1.0219	0.15271	-0.46851	0.37498	-0.64551	0.41106	0	1.0219	-0.64551	0.61084	rest	1	89989933	90063420
LRRC8C	0.84658	0.42814	-1.1434	-0.036183	0.43786	-0.30722	0	0.84658	-1.1434	0.40871999999999997	rest	1	90098644	90185094
LRRC8D	1.4987	1.3653	1.4025	0.70161	-0.11356	-0.16584	0	1.4987	-0.16584	0.09619999999999984	rest	1	90286573	90401991
ZNF326	-1.0005	0.53355	1.2581	0.02876	-0.16022	-1.2781	0	1.2581	-1.2781	0.72455	rest	1	90460678	90494101
BARHL2	-0.72066	2.5134	1.7758	1.8464	2.6178	3.057	3	3.057	-0.72066	0.43920000000000003	rest	1	91177579	91182794
ZNF644	0.58194	0.037361	1.2089	0.1941	1.388	-0.018256	0	1.388	-0.018256	0.17909999999999981	rest	1	91380855	91487812
HFM1	-0.99351	-1.1764	-1.4007	-0.65798	-0.65201	-1.1765	0	-0.65201	-1.4007	0.005970000000000031	rest	1	91726323	91870426
CDC7	-1.421	-0.61915	-0.58541	-0.44624	-1.4449	0.049297	0	0.049297	-1.4449	0.495537	rest	1	91966338	91991321
TGFBR3	2.3842	-0.57455	0.48123	2.164	1.5152	1.5049	2	2.3842	-0.57455	0.22019999999999973	rest	1	92145900	92371559
BRDT	0.82895	-0.32915	-0.41565	-0.81813	0.54138	-0.71501	0	0.82895	-0.81813	0.28757	rest	1	92414928	92479985
EPHX4	1.1743	-0.17762	-0.58808	-0.3568	0.55104	0.027404	0	1.1743	-0.58808	0.6232599999999999	rest	1	92495533	92529093
BTBD8	2.8923	1.7822	-0.31351	2.0964	0.40121	2.8539	3	2.8923	-0.31351	0.03840000000000021	rest	1	92545862	92613397
SETSIP	2.8738	2.3358	0.046815	2.0834	0.42368	3.2116	4	3.2116	0.046815	0.33779999999999966	rest	1	92540093	92540968
KIAA1107	3.2175	1.903	-0.23271	2.0732	0.098244	2.8493	3	3.2175	-0.23271	0.36819999999999986	rest	1	92632609	92650280
C1orf146	3.6481	2.2651	-0.07469	1.7389	0.24209	3.0543	3	3.6481	-0.07469	0.5937999999999999	rest	1	92683573	92711367
GLMN	1.8915	-0.21621	-1.7859	0.1899	-0.34506	0.75889	0	1.8915	-1.7859	1.1326100000000001	rest	1	92711955	92764566
RPAP2	2.4771	-0.072397	-0.39281	0.66513	0.28542	1.525	1	2.4771	-0.39281	0.9521000000000002	rest	1	92764522	92853732
GFI1	2.7411	0.72529	-0.7811	0.98397	-0.40511	1.8618	1	2.7411	-0.7811	0.8793	rest	1	92940318	92952433
EVI5	2.83	-0.71778	-0.76277	-0.49812	0.40161	-0.37843	1	2.83	-0.76277	2.4283900000000003	rest	1	92974253	93257961
RPL5	1.8954	1.3137	-0.36126	1.0027	-0.80074	0.44297	0	1.8954	-0.80074	0.5816999999999999	rest	1	93297594	93307481
FAM69A	2.0007	1.1941	-0.22096	0.50097	-0.18834	0.091148	1	2.0007	-0.22096	0.8066000000000002	rest	1	93298286	93427079
MTF2	2.2911	0.90521	-0.12255	-0.24568	-0.54808	1.4771	1	2.2911	-0.54808	0.8140000000000001	rest	1	93544792	93604638
TMED5	0.84224	-0.77722	-1.15	-0.3908	-1.1974	0.64956	0	0.84224	-1.1974	0.19267999999999996	rest	1	93615299	93646246
CCDC18	0.74573	-0.1569	-0.22441	0.3259	-1.2035	0.93892	0	0.93892	-1.2035	0.19318999999999997	rest	1	93646038	93744769
DR1	0.32081	0.2752	0.45885	0.90278	-0.63779	1.1169	0	1.1169	-0.63779	0.21411999999999998	rest	1	93811478	93828149
FNBP1L	0.38975	0.087918	0.19652	0.50965	-0.72413	0.58028	0	0.58028	-0.72413	0.07062999999999997	rest	1	93913688	94020218
BCAR3	0.43901	-0.076347	0.20315	-0.76254	-0.071787	-0.23803	0	0.43901	-0.76254	0.23586000000000001	rest	1	94027343	94312706
DNTTIP2	0.89158	0.44987	1.0754	0.2351	0.5332	0.69667	0	1.0754	0.2351	0.18381999999999987	rest	1	94335014	94345474
GCLM	0.45366	0.64427	1.5993	0.97634	1.6729	0.70274	0	1.6729	0.45366	0.07360000000000011	rest	1	94352590	94375154
ABCA4	-0.37537	-0.77623	0.89412	1.3705	1.3612	1.1089	0	1.3705	-0.77623	0.009300000000000086	rest	1	94458393	94586705
ARHGAP29	0.23981	-1.3913	0.0085738	-0.10359	-0.24041	0.38248	0	0.38248	-1.3913	0.14267	rest	1	94634463	94713251
ABCD3	0.16218	-2.5844	0.31088	0.0087159	-0.7423	1.493	0	1.493	-2.5844	1.18212	rest	1	94883933	94984219
F3	0.64295	-0.79734	0.088645	-0.031396	0.53785	0.87496	0	0.87496	-0.79734	0.23200999999999994	rest	1	94994732	95007413
SLC44A3	-0.67587	0.51924	1.2974	-0.25204	1.6954	-2.0595	0	1.6954	-2.0595	0.3979999999999999	rest	1	95285898	95360803
CNN3	-0.047168	0.33833	0.21467	0.62615	0.33135	0.55348	0	0.62615	-0.047168	0.07267000000000001	rest	1	95362507	95392735
ALG14	0.18746	0.076967	0.69218	0.28684	0.51711	0.26584	0	0.69218	0.076967	0.17507000000000006	rest	1	95448279	95538512
TMEM56	-0.082428	-1.199	-1.4131	0.16438	-0.55483	-0.077893	0	0.16438	-1.4131	0.24227300000000002	rest	1	95582894	95663163
TMEM56-RWDD3	-0.36459	-0.76435	-1.3226	0.11867	-0.8717	-0.15857	0	0.11867	-1.3226	0.27724	rest	1	95583479	95710511
RWDD3	-0.208	0.050986	-0.62504	0.076328	-1.2446	-0.06476	0	0.076328	-1.2446	0.025341999999999996	rest	1	95699711	95712781
PTBP2	-0.17587	-0.43707	0.62524	0.67549	-0.63514	0.17093	0	0.67549	-0.63514	0.05025000000000002	rest	1	97187161	97280605
DPYD	-0.30138	1.0375	1.0946	1.5186	0.53977	0.046838	0	1.5186	-0.30138	0.42399999999999993	rest	1	97543299	98386615
SNX7	0.29957	0.60887	-0.67295	-0.062311	0.16372	0.68005	0	0.68005	-0.67295	0.07118000000000002	rest	1	99127236	99226056
LPPR5	0.24676	1.033	-0.10968	-0.097019	0.45622	-0.64853	0	1.033	-0.64853	0.5767799999999998	rest	1	99355801	99470449
LPPR4	1.0834	0.35473	0.40326	0.27987	0.066823	0.76946	0	1.0834	0.066823	0.3139399999999999	rest	1	99729848	99775140
PALMD	0.94412	-0.61109	-0.12666	1.0891	0.92281	2.266	1	2.266	-0.61109	1.1769	rest	1	100111431	100160097
FRRS1	0.84816	-0.52526	-0.42658	0.61611	-1.0174	0.86616	0	0.86616	-1.0174	0.018000000000000016	rest	1	100174206	100232186
AGL	1.4756	-1.1701	0.42715	0.57847	1.333	0.67502	0	1.4756	-1.1701	0.14260000000000006	rest	1	100315633	100389579
SLC35A3	1.0918	-0.7291	-0.20939	0.77363	0.29219	0.82956	0	1.0918	-0.7291	0.26224000000000014	rest	1	100435345	100492535
HIAT1	1.2824	-0.7028	-1.0539	0.91641	-0.2319	1.0677	0	1.2824	-1.0539	0.2146999999999999	rest	1	100503670	100548933
SASS6	1.6052	-0.20082	0.11294	1.6663	0.29459	0.61412	0	1.6663	-0.20082	0.06109999999999993	rest	1	100549100	100598518
TRMT13	1.1218	-0.32931	0.30153	1.3779	0.5565	0.1012	0	1.3779	-0.32931	0.2561	rest	1	100598669	100616054
LRRC39	2.3788	0.091615	0.093383	1.9966	-0.10697	1.1516	1	2.3788	-0.10697	0.3822000000000001	rest	1	100614004	100643829
DBT	2.3139	0.30097	0.48562	1.9896	0.14802	1.1164	1	2.3139	0.14802	0.3242999999999998	rest	1	100652478	100715409
RTCA	0.97458	0.40236	0.91689	1.4864	0.85023	0.30631	0	1.4864	0.30631	0.5118199999999999	rest	1	100731714	100758325
CDC14A	-1.2581	-0.17567	1.192	1.1605	0.96474	0.84069	0	1.192	-1.2581	0.03149999999999986	rest	1	100810598	100985833
GPR88	1.1042	-0.6286	0.65835	0.26901	0.65132	0.046985	0	1.1042	-0.6286	0.4458500000000001	rest	1	101003728	101007583
VCAM1	1.163	0.95939	0.3196	-0.44296	-1.247	-0.88928	0	1.163	-1.247	0.20361000000000007	rest	1	101185196	101204601
SLC30A7	1.8518	-1.147	0.48388	0.15462	-1.6902	2.0178	1	2.0178	-1.6902	0.16599999999999993	rest	1	101361632	101552821
EXTL2	1.5795	-1.3017	0.42978	0.25933	-1.0493	1.9263	0	1.9263	-1.3017	0.3468	rest	1	101337928	101361548
DPH5	2.1382	-1.5988	0.2291	0.12684	-1.8507	2.2235	2	2.2235	-1.8507	0.08530000000000015	rest	1	101455179	101491365
S1PR1	0.84302	0.74401	0.80496	1.6051	-1.365	0.90004	0	1.6051	-1.365	0.70506	rest	1	101702305	101707076
OLFM3	1.6811	0.82659	0.83083	1.8886	0.90402	0.52487	0	1.8886	0.52487	0.20750000000000002	rest	1	102268126	102462790
COL11A1	0.1155	0.43506	1.0522	1.188	0.95225	2.2247	1	2.2247	0.1155	1.0367	rest	1	103342023	103574052
LOC101928436	0.70362	-2.0015	-0.48447	0.98859	0.61373	1.3824	0	1.3824	-2.0015	0.3938100000000001	rest	1	103961373	103975528
RNPC3	1.3818	0.49655	1.0397	0.47279	1.0477	1.096	0	1.3818	0.47279	0.28579999999999983	rest	1	104068323	104097861
AMY2B	1.7099	0.25127	0.84234	0.042294	1.0918	0.70541	0	1.7099	0.042294	0.6180999999999999	rest	1	104095894	104122156
AMY2A	1.1415	0.11313	1.0453	0.043336	1.7858	-0.89594	0	1.7858	-0.89594	0.6443000000000001	rest	1	104159999	104168400
AMY1A	1.3207	0.32552	1.1174	0.20755	0.6311	0.24706	0	1.3207	0.20755	0.20330000000000004	rest	1	104193695	104207174
AMY1B	-1.7983	-1.9004	0.3444	0.059775	-1.0278	-0.49014	0	0.3444	-1.9004	0.28462499999999996	rest	1	104230039	104243519
AMY1C	0.79844	-1.5313	-0.28324	-0.32516	-0.099445	0.60505	0	0.79844	-1.5313	0.19339000000000006	rest	1	104287833	104301312
PRMT6	-0.41285	-0.14215	-0.67896	0.70333	0.26971	1.2969	0	1.2969	-0.67896	0.5935699999999999	rest	1	107599267	107601916
NTNG1	-0.39494	1.7236	0.32212	-0.58406	0.46585	-0.57944	0	1.7236	-0.58406	1.2577500000000001	rest	1	107682540	108024477
VAV3	0.34549	1.5578	1.4033	1.7336	1.3178	1.0418	0	1.7336	0.34549	0.17579999999999996	rest	1	108113782	108507545
SLC25A24	-1.4186	-1.7459	-0.84409	0.1086	-1.7558	-0.69672	0	0.1086	-1.7558	0.80532	rest	1	108677344	108742980
NBPF4	0.36429	0.27287	1.1508	0.8224	0.18291	-1.1703	0	1.1508	-1.1703	0.3284	rest	1	108765902	108786720
NBPF6	0.37675	0.24637	0.35805	1.8013	1.5543	1.3814	0	1.8013	0.24637	0.2469999999999999	rest	1	108992887	109013639
FAM102B	-1.7179	-1.9561	-0.44893	-1.2888	-0.80035	-0.49765	0	-0.44893	-1.9561	0.048719999999999986	rest	1	109102653	109181949
HENMT1	-1.2132	-1.4039	-0.43749	-0.30895	-0.11329	0.63115	0	0.63115	-1.4039	0.74444	rest	1	109190910	109204148
PRPF38B	-0.87726	-1.4571	-0.61641	-1.1077	-0.64047	0.36446	0	0.36446	-1.4571	0.98087	rest	1	109234932	109244425
FNDC7	-0.10764	-0.81017	-0.71558	0.026261	-1.2908	-0.46201	0	0.026261	-1.2908	0.133901	rest	1	109255556	109285371
STXBP3	-1.6291	-0.64857	-1.1081	0.56228	-1.2878	-0.1846	0	0.56228	-1.6291	0.74688	rest	1	109289285	109352148
AKNAD1	-0.34626	0.80123	-0.25469	0.12122	0.27889	0.29197	0	0.80123	-0.34626	0.50926	rest	1	109358520	109400864
GPSM2	-0.14034	0.45347	-0.29752	-0.15178	0.10518	-0.17623	0	0.45347	-0.29752	0.34829	rest	1	109417972	109473044
CLCC1	0.62714	-1.6399	-0.0029118	-0.96821	-1.2492	-1.7627	0	0.62714	-1.7627	0.6300518	rest	1	109472130	109506121
WDR47	0.56155	-1.7476	-0.10622	-0.48021	-0.619	-1.6411	0	0.56155	-1.7476	0.66777	rest	1	109512835	109584860
TAF13	-0.054873	0.14439	0.88362	1.068	-0.18009	0.45065	0	1.068	-0.18009	0.1843800000000001	rest	1	109606998	109618624
TMEM167B	0.02647	0.21968	0.9514	1.1582	-0.17836	0.4467	0	1.1582	-0.17836	0.20679999999999987	rest	1	109633403	109639554
KIAA1324	-0.44356	0.3592	1.1128	0.78994	-0.39042	0.5771	0	1.1128	-0.44356	0.32286000000000004	rest	1	109656585	109749403
C1orf194	-0.13792	0.936	1.5061	0.78492	-0.22126	0.26688	0	1.5061	-0.22126	0.5700999999999999	rest	1	109648573	109656484
SARS	-0.38948	-1.366	-0.29161	0.17817	-0.17311	0.20015	0	0.20015	-1.366	0.02198	rest	1	109756515	109780804
CELSR2	1.554	-0.69795	0.87818	0.1477	-0.4547	-0.17845	0	1.554	-0.69795	0.6758200000000001	rest	1	109792641	109818378
PSRC1	1.9769	-0.37599	1.2777	0.55208	-0.33704	-0.20276	0	1.9769	-0.37599	0.6992	rest	1	109822176	109825790
MYBPHL	0.0052269	-1.5389	0.21318	0.025623	0.17014	-1.0025	0	0.21318	-1.5389	0.043039999999999995	rest	1	109834987	109849663
SORT1	-0.79589	-0.66451	0.32246	0.22119	0.61823	-0.41875	0	0.61823	-0.79589	0.2957699999999999	rest	1	109852187	109940563
PSMA5	-0.54292	-0.4002	0.099985	-0.064481	0.4289	-0.50588	0	0.4289	-0.54292	0.328915	rest	1	109941653	109969108
SYPL2	0.052547	0.065063	-0.38539	-0.10597	0.38919	-0.1843	0	0.38919	-0.38539	0.324127	rest	1	110009100	110024764
ATXN7L2	0.11144	0.034333	-0.36261	-0.20837	0.5013	-0.40759	0	0.5013	-0.40759	0.38986	rest	1	110026533	110035426
CYB561D1	-0.081159	-0.4126	-0.070017	-0.090881	0.742	-0.3941	0	0.742	-0.4126	0.812017	rest	1	110036658	110043063
AMIGO1	-0.48801	-0.60131	-0.0075533	-0.98796	0.46326	-0.9423	0	0.46326	-0.98796	0.4708133	rest	1	110049446	110052336
GPR61	-0.59685	-0.32432	-0.066712	-0.88052	0.2485	-0.40877	0	0.2485	-0.88052	0.315212	rest	1	110082494	110088487
GNAI3	-0.49073	0.19409	-0.60535	-1.1079	-0.36814	-0.68668	0	0.19409	-1.1079	0.56223	rest	1	110091186	110138465
AMPD2	0.010079	0.80087	-0.85907	-0.42869	-0.65165	-0.91212	0	0.80087	-0.91212	0.790791	rest	1	110162435	110174677
GNAT2	0.086458	0.73096	-0.92828	-0.33485	-0.5855	-0.77232	0	0.73096	-0.92828	0.644502	rest	1	110145889	110155705
GSTM4	-1.3354	-0.1176	-1.583	-1.0492	-0.81393	-0.53522	0	-0.1176	-1.583	0.41762000000000005	rest	1	110198698	110208123
GSTM2	-0.91678	-0.19503	-2.0951	-1.3363	-1.3536	-0.72433	0	-0.19503	-2.0951	0.5293	rest	1	110210644	110226619
GSTM1	-0.91714	-0.50726	-2.0061	-1.2833	-1.6528	-0.58603	0	-0.50726	-2.0061	0.07877	rest	1	110230418	110240828
GSTM5	-1.7201	0.32638	0.0070682	0.59261	0.071137	0.42721	0	0.59261	-1.7201	0.1654	rest	1	110254406	110260890
GSTM3	1.6837	1.1808	1.0347	1.4206	1.5765	1.0479	0	1.6837	1.0347	0.10719999999999996	rest	1	110276554	110283660
EPS8L3	2.0443	1.3441	1.6146	1.7977	2.0275	1.4513	2	2.0443	1.3441	0.016799999999999926	rest	1	110292702	110306644
CSF1	3.6274	3.1488	2.6583	2.5545	1.7553	2.446	5	3.6274	1.7553	0.47860000000000014	rest	1	110453233	110473616
AHCYL1	2.3244	3.5781	3.2583	3.8153	1.8549	3.7948	5	3.8153	1.8549	0.020500000000000185	rest	1	110527387	110566364
STRIP1	1.5482	2.2708	2.3813	2.9196	1.7525	2.0783	4	2.9196	1.5482	0.5383	rest	1	110574199	110597263
ALX3	2.0017	2.4328	2.5439	3.0089	1.892	2.3437	5	3.0089	1.892	0.4650000000000003	rest	1	110602997	110613322
UBL4B	1.6952	2.2389	2.0691	2.8626	1.9722	2.4194	4	2.8626	1.6952	0.44320000000000004	rest	1	110655062	110656569
SLC6A17	-1.1379	1.7037	0.43173	0.83623	-1.0315	0.21067	0	1.7037	-1.1379	0.86747	rest	1	110693132	110744824
KCNC4	0.046621	1.42	-0.252	0.49751	-1.4298	0.0041148	0	1.42	-1.4298	0.9224899999999999	rest	1	110753336	110776674
RBM15	1.4093	0.81942	0.045955	0.93433	-0.1128	0.58687	0	1.4093	-0.1128	0.47497	rest	1	110881945	110889303
SLC16A4	1.7849	0.6698	0.34159	0.77554	0.71514	1.1069	0	1.7849	0.34159	0.6779999999999999	rest	1	110905473	110933704
LAMTOR5	1.8371	0.41374	0.2978	0.79221	0.65303	1.33	0	1.8371	0.2978	0.5070999999999999	rest	1	110943875	110950546
PROK1	1.6355	-0.80338	0.079436	0.3228	0.035354	0.8896	0	1.6355	-0.80338	0.7459	rest	1	110993788	110999976
KCNA10	-0.98845	-1.7982	-1.2632	-0.76741	-0.55112	0.17626	0	0.17626	-1.7982	0.72738	rest	1	111059839	111061797
KCNA2	0.69337	-0.034662	0.64645	0.83961	1.9661	-0.95258	0	1.9661	-0.95258	1.12649	rest	1	111136202	111174096
KCNA3	0.34784	-0.066509	-1.4993	-1.8017	1.5132	-2.1996	0	1.5132	-2.1996	1.1653600000000002	rest	1	111196182	111217655
CD53	0.10633	-1.3039	-1.2107	-0.80551	-0.076927	-1.6436	0	0.10633	-1.6436	0.183257	rest	1	111413821	111442558
LRIF1	-2.302	-0.69338	0.54606	0.78244	0.59562	-1.6633	0	0.78244	-2.302	0.18681999999999999	rest	1	111489812	111506825
CEPT1	-0.40297	0.58562	1.372	0.27185	1.4498	-0.13665	0	1.4498	-0.40297	0.07779999999999987	rest	1	111682249	111727724
DRAM2	-0.15365	0.46962	1.3	0.37161	1.4274	0.10741	0	1.4274	-0.15365	0.12739999999999996	rest	1	111659954	111682838
DENND2D	-1.4772	0.33667	1.116	-0.55351	0.61791	-2.0782	0	1.116	-2.0782	0.49809000000000014	rest	1	111728591	111747160
CHI3L2	-1.4033	-0.022889	0.74546	-0.5592	-0.067051	-1.6456	0	0.74546	-1.6456	0.7683490000000001	rest	1	111770281	111786062
CHIA	-1.9251	0.11854	-0.75562	-1.7903	-1.2998	-2.2606	0	0.11854	-2.2606	0.8741599999999999	rest	1	111833474	111863188
PIFO	-1.3317	0.075289	-0.25158	-1.8355	-0.99229	-1.7514	0	0.075289	-1.8355	0.326869	rest	1	111867285	111895639
OVGP1	-0.74825	-0.21762	-0.6654	-2.0642	-0.48657	-0.74143	0	-0.21762	-2.0642	0.26895	rest	1	111956937	111970399
ATP5F1	-0.20345	-0.29102	-0.69682	-1.9415	-0.57453	-0.82573	0	-0.20345	-1.9415	0.08757000000000001	rest	1	111991467	112004540
WDR77	-0.27306	-0.55163	-0.96822	-2.1995	-0.59744	-1.029	0	-0.27306	-2.1995	0.27856999999999993	rest	1	111982512	111991915
C1orf162	-0.25356	-0.45331	-0.27415	-1.2772	-0.98847	-1.1977	0	-0.25356	-1.2772	0.020589999999999997	rest	1	112016474	112021134
ADORA3	-0.23363	0.6072	0.80759	-0.49948	-1.2308	-1.1431	0	0.80759	-1.2308	0.20039000000000007	rest	1	112025970	112106602
RAP1A	0.9661	0.58668	1.8686	0.39765	0.011235	-0.55958	0	1.8686	-0.55958	0.9025000000000001	rest	1	112162405	112256807
FAM212B	0.80452	0.3059	0.70653	-0.40966	0.2765	-1.3176	0	0.80452	-1.3176	0.09799000000000002	rest	1	112264686	112298419
DDX20	0.7315	0.27509	0.46127	-0.4345	0.37629	-0.96332	0	0.7315	-0.96332	0.27023	rest	1	112298190	112310199
KCND3	1.0589	-0.78885	-0.57848	-2.1667	-0.44564	-1.6449	0	1.0589	-2.1667	1.50454	rest	1	112318444	112532147
LOC643355	-0.8885	0.64137	-0.46615	-0.61668	-0.6904	0.004015	0	0.64137	-0.8885	0.637355	rest	1	112532593	112541464
CTTNBP2NL	1.3866	-1.0628	-1.024	0.26751	0.014865	-0.39579	0	1.3866	-1.0628	1.11909	rest	1	112938800	113003786
WNT2B	2.4224	0.27058	-0.36219	1.1487	1.1612	1.7077	1	2.4224	-0.36219	0.7147000000000001	rest	1	113010040	113063910
